Study_condition,Study_condition_name,Study_condition_ontology_link,,,Disease,Disease_name,Disease_ontology_link,,Disease_subtype,Disease_subtype_name,Disease_subtype_ontology_link
ACVD,atherosclerosis,http://www.ebi.ac.uk/efo/EFO_0003914,,,healthy,healthy,http://purl.obolibrary.org/obo/NCIT_C115935,,healthy,healthy,http://purl.obolibrary.org/obo/NCIT_C115935
acute_diarrhoea,acute diarrhea,http://purl.obolibrary.org/obo/DOID_0050140,,,acute_diarrhoea,acute diarrhoea,http://purl.obolibrary.org/obo/MONDO_0000257,,CD,Crohn's disease,http://www.ebi.ac.uk/efo/EFO_0000384
cellulitis,cellulitis,http://www.ebi.ac.uk/efo/EFO_0003035,,,hepatitis,hepatitis,http://purl.obolibrary.org/obo/NCIT_C3095,,UC,Ulcerative Colitis,http://purl.obolibrary.org/obo/NCIT_C2952
melanoma,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,,,ACVD,Atherosclerotic cardiovascular disease,http://purl.obolibrary.org/obo/NCIT_C35771,,adenoma,adenoma,http://purl.obolibrary.org/obo/NCIT_C2855
gangrene,gangrene,http://www.ebi.ac.uk/efo/EFO_0008574,,,NK,natural killer cell,http://purl.obolibrary.org/obo/CL_0000623,,smalladenoma,Small intestinal adenoma,http://purl.obolibrary.org/obo/NCIT_C5340
osteoarthritis,osteoarthritis,http://www.ebi.ac.uk/efo/EFO_0002506,,,CRC,Colorectal Cancer,http://www.ebi.ac.uk/efo/EFO_0005842,,largeadenoma,large intestinal adenoma,http://purl.obolibrary.org/obo/DOID_0050914
control,control,http://www.ebi.ac.uk/efo/EFO_0001461,,,STEC,Shiga toxin,http://purl.obolibrary.org/obo/NCIT_C1225,,advancedadenoma,,
NK,natural killer cell,http://purl.obolibrary.org/obo/CL_0000623,,,melanoma,Melanoma,http://purl.obolibrary.org/obo/NCIT_C3224,,adenocarcinoma,adenocarcinoma,http://purl.obolibrary.org/obo/NCIT_C2852
pyelonefritis,pyelonephritis,http://www.ebi.ac.uk/efo/EFO_1001141,,,adenoma,adenoma,http://purl.obolibrary.org/obo/NCIT_C2855,,carcinoma,carcinoma,http://purl.obolibrary.org/obo/NCIT_C2916
salmonellosis,salmonellosis,http://purl.obolibrary.org/obo/NCIT_C157974,,,arthritis,arthritis,http://purl.obolibrary.org/obo/NCIT_C2883,,AS,Ankylosing spondylitis,http://purl.obolibrary.org/obo/NCIT_C84564
sepsis,sepsis,http://purl.obolibrary.org/obo/HP_0100806,,,cellulitis,cellulitis,http://purl.obolibrary.org/obo/NCIT_C26715,,cholera,cholera,http://purl.obolibrary.org/obo/NCIT_C157812
skininf,skin infection,http://purl.obolibrary.org/obo/NCIT_C35025,,,gangrene,gangrene,http://purl.obolibrary.org/obo/NCIT_C50573,,T1D_nonconverter,,
suspinf,,,,,osteoarthritis,osteoarthritis,http://purl.obolibrary.org/obo/NCIT_C3293,,T1D_seroconverter,,
arthritis,arthritis,http://www.ebi.ac.uk/efo/EFO_0005856,,,NK,natural killer cell,http://purl.obolibrary.org/obo/CL_0000623,,NAFLD,Non alcoholic fatty liver disease,http://purl.obolibrary.org/obo/DOID_0080208
STEC,Shiga toxin,http://purl.obolibrary.org/obo/NCIT_C1225,,,pyelonefritis,Pyelonephritis,http://purl.obolibrary.org/obo/NCIT_C34965,,Ulcerative_colitis,Ulcerative Colitis,http://purl.obolibrary.org/obo/NCIT_C2952
CRC,Colorectal Cancer,http://www.ebi.ac.uk/efo/EFO_0005842,,,salmonellosis,salmonellosis,http://purl.obolibrary.org/obo/NCIT_C157974,,Indeterminate_colitis,Indeterminate colitis,http://www.ebi.ac.uk/efo/EFO_1000034
adenoma,Adenoma,http://purl.obolibrary.org/obo/NCIT_C2855,,,sepsis,sepsis,http://purl.obolibrary.org/obo/OMIT_0018952,,,,
fatty_liver,fatty liver,http://purl.obolibrary.org/obo/OMIT_0006456,,,skininf,skin infection,http://purl.obolibrary.org/obo/NCIT_C35025,,,,
hypertension,hypertension,http://purl.obolibrary.org/obo/NCIT_C3117,,,suspinf,,,,,,
pre-hypertension,,,,,fatty_liver,fatty liver,http://purl.obolibrary.org/obo/OMIT_0006456,,,,
coeliac,celiac disease,http://www.ebi.ac.uk/efo/EFO_0001060,,,hypertension,hypertension,http://purl.obolibrary.org/obo/NCIT_C3117,,,,
asthma,asthma,http://www.ebi.ac.uk/efo/EFO_0000270,,,coeliac,Celiac disease,http://purl.obolibrary.org/obo/HP_0002608,,,,
gestational_diabetes,gestational diabetes,http://www.ebi.ac.uk/efo/EFO_0004593,,,asthma,asthma,http://purl.obolibrary.org/obo/NCIT_C28397,,,,
