col.name,Ontology link,Ontology,uniqueness,requiredness,multiplevalues,allowedvalues,description
sampleID,http://purl.obolibrary.org/obo/NCIT_C164332,NCI Thesaurus OBO Edition,unique,required,FALSE,[a-zA-Z]\S+,Sample identifier.
subjectID,http://purl.obolibrary.org/obo/NCIT_C83083,NCI Thesaurus OBO Edition,non-unique,required,FALSE,[a-zA-Z]\S+,Subject identifier.
body_site,,Uber-anatomy ontology,non-unique,required,FALSE,stool|skin|vagina|oralcavity|nasalcavity|lung|milk,Bodysite of acquisition.
body_subsite,,Uber-anatomy ontology,non-unique,optional,FALSE,anterior_nares|hard_palate|keratinized_gingiva|l_retroauricular_crease|r_retroauricular_crease|mid_vagina|palatine_tonsils|saliva|stool|supragingival_plaque|subgingival_plaque|throat|vaginal_introitus|posterior_fornix|tongue_dorsum|sputum|buccal_mucosa|left_elbow|right_ear|left_ear|right_elbow|rectal_swab|chest,Subsite of body site of acquisition.
antibiotics_current_use,,,non-unique,optional,FALSE,yes|no,Subject is currently taking antibiotics.
antibiotics_family,http://purl.obolibrary.org/obo/NCIT_C258,NCI Thesaurus OBO Edition,non-unique,optional,TRUE,dopamine_antagonists|phenylpiperidines|thienobenzodiazepines|blood_pressure_medication|diabetes_oral_medication|anti_retrovirals|beta_blockers|reverse_transcriptase_inhibitors|anti_virals|cephalosporins|penicillins|macrolides|beta_lactamase_inhibitors|nitrofurans|sulphonamides|aminoglycosides|carbapenems|fluoroquinolones|laxatives|none,Family of antibiotics currently used; Semicolon-separated.
study_condition,,Experimental Factor Ontology,non-unique,optional,FALSE,ACVD|acute_diarrhoea|cellulitis|melanoma|gangrene|osteoarthritis|control|NK|pyelonefritis|salmonellosis|sepsis|skininf|suspinf|arthritis|STEC|CRC|adenoma|fatty_liver|hypertension|pre-hypertension|coeliac|asthma|gestational_diabetes|cirrhosis|HBV|HDV|HEV|CMV|CDI|IBD|T2D|T1D|AD|AR|IGT|schizophrenia|ascites|wilson|otitis|bronchitis|pneumonia|respiratoryinf|cough|stomatitis|fever|pyelonephritis|infectiousgastroenteritis|tonsillitis|cystitis|abdominalhernia|psoriasis|cephalosporins|AS|RA|metabolic_syndrome|FMT|premature_born|periodontitis|SRP|STH|BD|chorioamnionitis|pre-eclampsia|carcinoma_surgery_history,The main disease or condition under study; control for controls;STEC=Shiga-toxigenic E.coli;CDI=Clostridium difficile infection;IBD=Inflammatory bowel disease;T2D= Type-2 diabetes;T1D=Type-1 diabetes;AD=Atopic dermatitis;AR=Allergic rhinitis;IGT=Impaired glucose tolerance;AS=Ankylosing spondylitis;RA=rheumatic arthritis;FMT=fecal microbiota transplantaion;SRP=Scaling and root planing;CMV=Cytomegalovirus;HBV_HDV_HEV= Hepatitis viruses;BD= Bechet-disease;ACVD= Artheriosclerotic Cardiovalscular Disease
disease,,Experimental Factor Ontology,non-unique,optional,TRUE,healthy|acute_diarrhoea|hepatitis|ACVD|NK|CRC|STEC|melanoma|adenoma|arthritis|cellulitis|gangrene|osteoarthritis|NK|pyelonefritis|salmonellosis|sepsis|skininf|suspinf|fatty_liver|hypertension|coeliac|asthma|gestational_diabetes|cirrhosis|HBV|HDV|HEV|CMV|CDI|IBD|T2D|T1D|AD|AR|IGT|BD|schizophrenia|ascites|wilson|otitis|bronchitis|pneumonia|respiratoryinf|cough|stomatitis|fever|pyelonephritis|infectiousgastroenteritis|tonsillitis|cystitis|abdominalhernia|psoriasis|RA|metabolic_syndrome|metastases|hypercholesterolemia|periodontitis|ascaris_lumbricoides|necator_americanus|trichuris_trichiura|chorioamnionitis|pre-eclampsia,Semicolon-delimited vector of conditions; Use healthy only if subject is known to be healthy; CRC=colorectal cancer;CD=Crohn's disease; for other abbreviations see study_condition
disease_subtype,,Experimental Factor Ontology,non-unique,optional,FALSE,healthy|CD|UC|adenoma|smalladenoma|largeadenoma|advancedadenoma|adenocarcinoma|carcinoma|AS|cholera|T1D_nonconverter|T1D_seroconverter|NAFLD|Ulcerative_colitis|Indeterminate_colitis,Disease subtype; CD=Chrohn's Disease;AS=Ankylosing spondylitis;NAFLD=nonalcoholic fatty liver disease;for other abbreviations see study_condition
age,,Experimental Factor Ontology,non-unique,optional,FALSE,[0-9]+,Subject age (years).
infant_age,,Experimental Factor Ontology,non-unique,optional,FALSE,[0-9]+,Infant age (days); should be used for infants < 2 years old.
age_category,,,non-unique,optional,FALSE,newborn|child|schoolage|adult|senior,Age category: newborn < 1 year; 1 <= child < 12; 12 <= schoolage < 19; 19 <= adult <= 65; senior > 65.
gender,http://purl.obolibrary.org/obo/NCIT_C17357,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,female|male|other,Subject gender.
visit_number,,,non-unique,optional,FALSE,[0-9]+,Visit number for studies with repeated visits.
BMI,http://www.ebi.ac.uk/efo/EFO_0004340,Experimental Factor Ontology,non-unique,optional,FALSE,[0-9]+\.?[0-9]*,Body mass index (kg/m2).
country,http://purl.obolibrary.org/obo/NCIT_C25464,NCI Thesaurus OBO Edition,non-unique,required,FALSE,LBR|SLV|CAN|DNK|EST|FJI|FIN|FRA|DEU|ITA|MNG|NLD|NOR|ESP|PHL|SWE|USA|GBR|CHN|RUS|LUX|AUT|TZA|PER|MDG|ISL|BRN|IDN|MYS|HUN|SVK|SGP|ISR|BGD|KAZ|IND|GHA|ETH|JPN|CMR,Country of acquisition using ISO3 code from http://www.fao.org/countryprofiles/iso3list/en/.
location,http://purl.obolibrary.org/obo/NCIT_C25341,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,.+,Free-form additional location information.
population,http://purl.obolibrary.org/obo/OMIT_0012119,Ontology for MIRNA Targer,non-uniqze,optional,FALSE,[a-zA-Z]\S+,can describe the belonging to a specific population
travel_destination,,,non-unique,optional,FALSE,CMR|ETH|KEN|TZA|RWA|IND|LKA|NPL,travel destination using ISO3 code from http://www.fao.org/countryprofiles/iso3list/en/.
non_westernized,,,non-unique,optional,FALSE,yes|no,Subject belongs to a non-westernized community.
lifestyle,http://purl.obolibrary.org/obo/NCIT_C16795,NCI Thesaurus OBO Edition,non-unique,optiona,FALSE,Hunter-gatherer|Agriculturalist|Fisher,to descripe the lifestyle of non-westernized people
days_from_first_collection,http://purl.obolibrary.org/obo/EUPATH_0000525,VEuPathDB Ontology,non-unique,optional,FALSE,[0-9]+,Used for time series studies.
sequencing_platform,http://purl.obolibrary.org/obo/NCIT_C172274,NCI Thesaurus OBO Edition,non-unique,required,FALSE,IlluminaHiSeq|IlluminaMiSeq|IlluminaNextSeq,This will be modified as new sequencing platforms are added to the database.
DNA_extraction_kit,http://purl.obolibrary.org/obo/OBI_0001117,Ontology for Biomedical Investigations,non-unique,optional,FALSE,Qiagen|Gnome|MoBio|MPBio|NorgenBiotek|Illuminakit|Maxwell_LEV|PSP_Spin_Stool|Tiangen|PowerSoil|other|PowerSoilPro,DNA extraction kit.
PMID,http://edamontology.org/data_1187,EDAM Ontology,non-unique,required,FALSE,[0-9]{8}|unpublished,Identifier of the main publication in PubMed.
number_reads,,,non-unique,required,FALSE,[0-9]+,Number of final reads - calculated from raw data.
number_bases,,,non-unique,required,FALSE,[0-9]+,Total number of bases sequenced in the sample - calculated from raw data.
minimum_read_length,,,non-unique,required,FALSE,[0-9]+,Minimum read length - calculated from raw data.
median_read_length,,,non-unique,required,FALSE,[0-9]+,Median read length - calculated from raw data.
NCBI_accession,http://edamontology.org/data_2787,EDAM Ontology,unique,optional,TRUE,[ES]R[SR][0-9]+,Semicolon-separated vector of NCBI accessions.
pregnant,http://purl.obolibrary.org/obo/NCIT_C124295,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,yes|no,Pregnancy of the subject (men: no).
lactating,http://purl.obolibrary.org/obo/NCIT_C82463,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,yes|no,Lactating subjects (men: no).
birth_control_pil,http://purl.obolibrary.org/obo/NCIT_C29640,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,yes|no,Use of the birth-control-pils at the sampling time (men: no).
smoker,http://purl.obolibrary.org/obo/NCIT_C68751,NCI Thesaurus OBO Edition,non-unique,optional,FALSE,yes|no,Currently a smoker at sampling.
