"sample_id","sample_name","study_name"
ac537d48a96aa0777094f37fe2bc2f48,ERS22388170,ERP160040
"7eceac94c18462167cd4892d7bc389e7",ERS20193096,ERP160039
"6100fc993e03b35733e2207e45089abe",ERS20191756,ERP160039
"3e5e68aa6e83bbbc6301859a91a39666",ERS22387478,ERP160040
"12a9fb1ccfe4a71976f3c8dfd2acfe80",H24,RampelliS_2015
"8769d0814043dd7af2bea73f82cf9fc1",ERS22388756,ERP160040
"1a44581b22c64109e61c8cff63b04547",Sample_BS_228V,BommanaS_2023
"6dd10d1269101a52600e0207cd0f396d",ERS22384256,ERP160040
ecbec3beea0f289db1d6dac121897c49,ERS22426481,ERP160041
db987228cec43ee71aa992c2e1f7ca4f,ERS22425905,ERP160041
"3716d7dcf8f226acbf727d34e0c101f7",ERS22419455,ERP160041
e9c229e46be794b8cde7325fff0be97a,SID60514917_SF08,MehtaRS_2018
"12a4fb3e0a7526d0f8367ede3ce04256",s_11326.Q.71801.0127.2017.12.10,iMSMS_2022
ad470868e796ea0da975418018593607,ERS22427117,ERP160041
"17534c81ab42d46af969b8adc40a179e",ERS22425078,ERP160041
"36ba251ef5f9472b04573921c2f355bd",ERS20187654,ERP160039
ad444821c851e884f92d5234385c6a3f,SRR9988191,Soto-GironMJ_2021
afd27f7bf815715308602b50c72e9951,MBJT42917972ST,KartalE_2022
"4ec14fdea2764ac17d8c29f786ef6111",s_11326.S.71701.0031.10.11.16,iMSMS_2022
bb1f3a69278100dc8bdab24c318c589d,ERS20187477,ERP160039
bb5871483627247a2efc5ac699391c37,M0x20MCx2604,MetaCardis_2020_a
a55d67f6f50b443b859cc0a4c61cdade,ERS22428675,ERP160041
"0f945bae86cff67da3067ee9f8350be4",ERS20188656,ERP160039
"1f147aebf292a930ef9122739b4511f4",ERS22387472,ERP160040
"6be665e909eb28f0d25a59cde483ffb9",ERS22425121,ERP160041
b43a52545ed49ac4ab67d67dfb5bdd91,N031,WenC_2017
"04a5aaf7af45bab25da9db40f4032fc7",Sample_BS_95V,BommanaS_2023
d5edd84bc3b7a10baf485b118927b092,SRS064423,HMP_2012
"6cc343cdb83bc991158b4a3a5e01037d",ERS22385265,ERP160040
"7f50a8b03a8c4a57a934c19e0b804fa4",V1_UC18_0,NielsenHB_2014
"57a1a6aad0642260a590c1fe41f59b37",ERS22384639,ERP160040
f0c57b0601f5d8a9269b7c9c7893258f,ERS20190078,ERP160039
b1b026df6236bf411e64fc8f948d52c8,ERS22420770,ERP160041
"79f06f9d55a7b4902cc7cfae94ae9747",V3_C111,WampachL_2018
"4009c5e0097e57bee1bccc072f7a22c7",M0x10MCx1518,MetaCardis_2020_a
a0b283afaddf67c6e5732d1e5fdaae7c,ERS22416305,ERP160041
a028baa24ac6ddc54bd905f19b9dfd4d,ERS20198137,ERP160039
"95f299e41c9ab2742460c9fbd8756baa",S2_009_025G1,BrooksB_2017
"83023f3ff5061e944ec61afa8c41543a",ERS22427092,ERP160041
"69ec72888995733ac21f84fdbe61d1e4",M1.29.ST,BritoIL_2016
"525ccb080061218495a13247c336f7d5",s_11326.Q2.71802.0004.4.18.16.B,iMSMS_2022
"238b852d264c0ced0865e06f1af046fe",YSZC12003_35703,XieH_2016
"61b51361a5327abad47ad4cc8f98c85f",SRS019029,HMP_2012
"9749ac9d7971b0f73f0d1caef29ab6e3",ERS22426028,ERP160041
fcb14c0774dd5e24a1f50de99bb3a950,ERS22418740,ERP160041
"024c13b54b394cbdf7255cb925367d2a",ERS22384985,ERP160040
"4afe5482eac55aa67c9f8a5c05774536",ERS22422648,ERP160041
d8c3f63049d3c4bf486d64a8bcab330f,s_11326.Q2.71801.0032.10.21.16.B,iMSMS_2022
d1035d2cb803363c047285154040d745,SAMN20395409,PernigoniN_2021
b4e10aaf1c3f3576ef33803dc956c4ae,ERS22429237,ERP160041
d15f8c7717fd05c09a36cd942fce9060,SAMN22443665,SpencerCN_2021
"1fa1b15b6cd920a27cd3c8c83d01b3ef",SIDVOV54_metag,DeFilippisF_2019
"0cfa321c53360930f80b0bdb6af2ec23",ERS22416106,ERP160041
f682fd6ecb2c804b8c536eb4893dc679,ERS20192128,ERP160039
bf363a6f51b1556034369ec5a8bd37c8,SAMN27925182,NagataN_2022
fe4a7a676c5fa82998a7b70926db9a91,BaruchEN_2021__R9-65,BaruchEN_2021
"5f17ad4a1d7213ae7251c65b18ffb3de",QCS-030-2,XuQ_2021
