DatasetName,Bioproject,StudyAccession,NextflowProfiling,ODMCuration,Version,Samples,Publication,PMID,Year,Species,Bodysite,HasInfants,Countries,Title
AsnicarF_2017,PRJNA339914,SRP082656,,,cMD3,24,https://doi.org/10.1128/mSystems.00164-16,28144631,2017,,"Stool, Milk",Yes,Italy,Studying Vertical Microbiome Transmission from Mothers to Infants by Strain-Level Metagenomic Profiling
AsnicarF_2021,PRJEB39223,ERP122716,,,cMD3,1098,https://doi.org/10.1038/s41591-020-01183-8,33432175,2021,,Stool,No,"UK, USA","Microbiome connections with host metabolism and habitual diet from 1,098 deeply phenotyped individuals"
BackhedF_2015,PRJEB6456,ERP005989,,,cMD3,400,https://doi.org/10.1016/j.chom.2015.04.004,25974306,2015,,Stool,Yes,Sweden,Dynamics and Stabilization of the Human Gut Microbiome during the First Year of Life
Bengtsson-PalmeJ_2015,PRJEB7369,ERP007090,,,cMD3,70,https://doi.org/10.1128/AAC.00933-15,26259788,2015,,Stool,No,Sweden,The Human Gut Microbiome as a Transporter of Antibiotic Resistance Genes between Continents
BritoIL_2016,PRJNA217052,SRP029441,,,cMD3,312,https://doi.org/10.1038/nature18927,27409808,2016,,"Stool, Oral",No,Fiji,Mobile genes in the human microbiome are structured from global to individual scales
BrooksB_2017,PRJNA376566,SRP102872,,,cMD3,408,https://doi.org/10.1038/s41467-017-02018-w,29180750,2017,,Stool,Yes,USA,Strain-resolved analysis of hospital rooms and infants reveals overlap between the human and room microbiome
Castro-NallarE_2015,PRJNA255439,SRP044400,,,cMD3,32,https://doi.org/10.7717/peerj.1140,26336637,2015,,Oral,No,USA,"Composition, taxonomy and functional diversity of the oropharynx microbiome in individuals with schizophrenia and controls"
ChengpingW_2017,PRJNA375935,SRP100575,,,cMD3,97,https://doi.org/10.1186/s13059-017-1271-6,28750650,2017,,Stool,No,China,Quantitative metagenomics reveals unique gut microbiome biomarkers in ankylosing spondylitis
ChngKR_2016,PRJNA277905,SRP056821,,,cMD3,78,https://doi.org/10.1038/nmicrobiol.2016.106,27562258,2016,,Skin,No,Singapore,Whole metagenome profiling reveals skin microbiome-dependent susceptibility to atopic dermatitis flare
ChuDM_2017,PRJNA322188,SRP078001,,,cMD3,86,https://doi.org/10.1038/nm.4272,28112736,2017,,"Stool, Oral",Yes,USA,Maturation of the infant microbiome community structure and function across multiple body sites and in relation to mode of delivery
CosteaPI_2017,PRJEB17632,ERP019502,,,cMD3,279,https://doi.org/10.15252/msb.20177589,29242367,2017,,Stool,No,"Germany, Kazakistan",Subspecies in the global human gut microbiome
DavidLA_2015,PRJEB9150,ERP010229,,,cMD3,47,https://doi.org/10.1128/mBio.00381-15,25991682,2015,,Stool,No,Bangladesh,Gut microbial succession follows acute secretory diarrhea in humans
DhakanDB_2019,PRJNA397112,SRP114847,,,cMD3,110,https://doi.org/10.1093/gigascience/giz004,30698687,2019,,Stool,No,India,"The unique composition of Indian gut microbiome, gene catalogue, and associated fecal metabolome deciphered using multi-omics approaches"
FengQ_2015,PRJEB7774,ERP008729,,,cMD3,154,https://doi.org/10.1038/ncomms7528 ,25758642,2015,,Stool,No,Austria,Gut microbiome development along the colorectal adenoma-carcinoma sequence
FerrettiP_2018,PRJNA352475,SRP100409,,,cMD3,214,https://doi.org/10.1016/j.chom.2018.06.005,30001516,2018,,"Stool, Oral, Skin, Vagina",Yes,Italy,Mother-to-Infant Microbial Transmission from Different Body Sites Shapes the Developing Infant Gut Microbiome
GhensiP_2019,PRJNA547717,SRP200814,,,cMD3,113,https://doi.org/10.1038/s41522-020-00155-7 ,33127901,2020,,Oral,No,Italy,Strong submucosal oral microbiome signatures for dental implant diseases identified by strain-resolution metagenomics
GopalakrishnanV_2018,PRJEB22893,ERP104610,,,cMD3,25,https://doi.org/10.1126/science.aan4236,29097493,2018,,Stool,No,USA,Gut microbiome modulates response to anti-PD-1 immunotherapy in melanoma patients
GuptaA_2019,PRJNA531273,SRP191395,,,cMD3,60,https://doi.org/10.1128/mSystems.00438-19,31719139,2019,,Stool,No,India,"Association of Flavonifractor plautii, a Flavonoid-Degrading Bacterium, with the Gut Microbiome of Colorectal Cancer Patients in India"
HallAB_2017,PRJNA385949,SRP108708,,,cMD3,259,https://doi.org/10.1186/s13073-017-0490-5,29183332,2017,,Stool,No,USA,A novel Ruminococcus gnavus clade enriched in inflammatory bowel disease patients
HanniganGD_2017,PRJNA389927,SRP108915,,,cMD3,81,https://doi.org/10.1128/mBio.02248-18,30459201,2018,,Stool,No,"Canada, USA",Diagnostic Potential and Interactive Dynamics of the Colorectal Cancer Virome
HansenLBS_2018,PRJNA491335,SRP164774,,,cMD3,207,https://doi.org/10.1038/s41467-018-07019-x,30425247,2018,,Stool,No,Denmark,A low-gluten diet induces changes in the intestinal microbiome of healthy Danish adults
Heitz-BuschartA_2016,PRJNA289586,SRP072561,,,cMD3,53,https://doi.org/10.1038/nmicrobiol.2016.180,27723761,2016,,Stool,No,Luxemburg,Integrated multi-omics of the human gut microbiome in a case study of familial type 1 diabetes
HMP_2012,PRJNA48479,SRP002163,,,cMD3,748,https://doi.org/10.1038/nature11234,22699609,2012,,"Stool, Oral, Skin, Vagina",No,USA,"Structure, function and diversity of the healthy human microbiome"
HMP_2019_ibdmdb,"PRJNA398089, PRJNA389280","SRP115494, SRP115812",,,cMD3,1627,https://doi.org/10.1038/s41586-019-1237-9,31142855,2019,,Stool,No,USA,Multi-omics of the gut microbial ecosystem in inflammatory bowel diseases
HMP_2019_t2d,NA,NA,,,cMD3,296,https://doi.org/10.1038/s41586-019-1236-x ,31142858,2019,,Stool,No,USA,Longitudinal multi-omics of host–microbe dynamics in prediabetes
IjazUZ_2017,PRJEB18780,ERP020739,,,cMD3,94,https://doi.org/10.1371/journal.pone.0172605,28222161,2017,,Stool,No,UK,"The distinct features of microbial ‘dysbiosis’ of Crohn’s disease do not occur to the same extent in their unaffected, genetically-linked kindred"
JieZ_2017,PRJEB21528,ERP023788,,,cMD3,385,https://doi.org/10.1038/s41467-017-00900-1,29018189,2017,,Stool,No,China,The gut microbiome in atherosclerotic cardiovascular disease
KarlssonFH_2013,PRJEB1786,ERP002469,,,cMD3,145,https://doi.org/10.1038/nature12198,23719380,2013,,Stool,No,Sweden,"Gut metagenome in European women with normal, impaired and diabetic glucose control"
KaurK_2020,PRJNA531203,SRP199213,,,cMD3,31,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0231197,32267865,2020,,Stool,No,India,Metagenomics analysis reveals features unique to Indian distal gut microbiota
KeohaneDM_2020,PRJEB36820,ERP120058,,,cMD3,117,https://doi.org/10.1038/s41591-020-0963-8,32632193,2020,,Stool,No,Ireland,Microbiome and health implications for ethnic minorities after enforced lifestyle changes
KieserS_2018,"PRJNA363003, PRJNA413160","SRP100895, SRP120020",,,cMD3,27,https://doi.org/10.1111/1462-2920.14274,29786169,2018,,Stool,No,Bangladesh,"Bangladeshi children with acute diarrhoea show faecal microbiomes with increased Streptococcus abundance, irrespective of diarrhoea aetiology"
KosticAD_2015,PRJNA231909,SRP056054,,,cMD3,120,https://doi.org/10.1016/j.chom.2015.01.001,25662751,2015,,Stool,Yes,"Finland, Estony",The dynamics of the human infant gut microbiome in development and in progression toward type 1 diabetes
LassalleF_2017,PRJEB14383,ERP016024,,,cMD3,23,https://doi.org/10.1111/mec.14435,29165844,2017,,Oral,No,Philippines,Oral microbiomes from hunter‐gatherers and traditional farmers reveal shifts in commensal balance and pathogen load linked to diet
LeChatelierE_2013,PRJEB4336,ERP003612,,,cMD3,292,https://doi.org/10.1038/nature12506,23985870,2013,,Stool,No,Denmark,Richness of human gut microbiome correlates with metabolic markers
LifeLinesDeep_2016,EGAD00001001991,NA,,,cMD3,1135,https://doi.org/10.1126/science.aad3369,27126040,2016,,Stool,No,Netherlands,Population-based metagenomics analysis reveals markers for gut microbiome composition and diversity
LiJ_2014,PRJEB5224,ERP004605,,,cMD3,260,https://doi.org/10.1038/nbt.2942,24997786,2014,,Stool,No,"Denmark, Spain, China",An integrated catalog of reference genes in the human gut microbiome
LiJ_2017,PRJEB13870,ERP015450,,,cMD3,196,https://doi.org/10.1186/s40168-016-0222-x,28143587,2017,,Stool,No,China,Gut microbiota dysbiosis contributes to the development of hypertension
